page,status,review_note
75,APROBADA,"Página 75: conclusiones, correspondencia de objetivos y Tabla 15; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
76,APROBADA,"Página 76: conclusiones, correspondencia de objetivos y Tabla 15; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
77,APROBADA,"Página 77: conclusiones, correspondencia de objetivos y Tabla 15; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
78,APROBADA,"Página 78: bibliografía APA 7, sangría francesa y enlaces; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
79,APROBADA,"Página 79: bibliografía APA 7, sangría francesa y enlaces; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
80,APROBADA,"Página 80: bibliografía APA 7, sangría francesa y enlaces; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
81,APROBADA,"Página 81: bibliografía APA 7, sangría francesa y enlaces; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
82,APROBADA,"Página 82: bibliografía APA 7, sangría francesa y enlaces; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
83,APROBADA,"Página 83: bibliografía APA 7, sangría francesa y enlaces; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
84,APROBADA,"Página 84: anexos, inventario, trazabilidad y cierre del autor; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
85,APROBADA,"Página 85: anexos, inventario, trazabilidad y cierre del autor; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
